Id,title,score,desc,url,lat,lon,location
0,L'ancien Presbytère d'Ardevon,9.6,Établissement Voyage Durable,https://www.booking.com/hotel/fr/l-39-ancien-presbytere-d-39-ardevon.fr.html,48.60332434,-1.47639652,Mont Saint Michel
1,"Maison chaleureuse, spacieuse et familiale",9.6,Établissement Voyage Durable,https://www.booking.com/hotel/fr/maison-chaleureuse-spacieuse-et-familiale.fr.html,48.5965771,-1.5052038,Mont Saint Michel
2,le coin des hirondelles,9.6,"Situé à Pontorson, l'établissement le coin des hirondelles propose un service de prêt de vélos, un jardin, un barbecue, une connexion Wi-Fi gratuite et une vue sur le jardin. ",https://www.booking.com/hotel/fr/le-coin-des-hirondelles.fr.html,48.6028643,-1.474069,Mont Saint Michel
3,Etoile des Grèves,9.3,"Situé à Ardevon, en Basse-Normandie, l'Etoile des Grèves propose des hébergements avec connexion Wi-Fi et parking privé gratuits. ",https://www.booking.com/hotel/fr/etoile-des-greves.fr.html,48.615509,-1.491524,Mont Saint Michel
4,La Jacotière,9.3,"Implantée à Ardevon, la maison d'hôtes La Jacotière occupe une ancienne ferme rénovée pourvue d'un jardin et d'une terrasse meublée donnant sur le Mont-Saint-Michel, situé à seulement 3 km. ",https://www.booking.com/hotel/fr/la-jacotia-re.fr.html,48.61411436,-1.50431424,Mont Saint Michel
5,Chambres d'Hôtes Les Vieilles Digues,9.3,"Occupant une maison bretonne restaurée, l'établissement à la gestion familiale Chambres d'Hôtes Les Vieilles Digues est situé à Beauvoir, à 3 km du Mont-Saint-Michel. ",https://www.booking.com/hotel/fr/chambres-d-ha-tes-les-vieilles-digues.fr.html,48.6041875,-1.51159912,Mont Saint Michel
6,Résidence Beauvoir le Mont-Saint-Michel (9 gîtes de 2 à 5 personnes),9.3,Établissement Voyage Durable,https://www.booking.com/hotel/fr/residence-beauvoir-le-mont-saint-michel.fr.html,48.59787845,-1.50841866,Mont Saint Michel
7,Gites Bellevue,9.3,"Situé à seulement 2 km du célèbre Mont-Saint-Michel, l'établissement Gites Bellevue vous propose des gîtes indépendants avec terrasse, jardin et barbecue. ",https://www.booking.com/hotel/fr/gites-bellevue.fr.html,48.60788007,-1.51722372,Mont Saint Michel
8,Vent des Grèves,9.2,"Offrant une vue sur le jardin, le Vent des Grèves est situé à Pontorson, à 8,1 km de l'abbaye du Mont-Saint-Michel. Vous bénéficierez gratuitement d'une connexion Wi-Fi et d'un parking privé. ",https://www.booking.com/hotel/fr/vent-des-greves-pontorson.fr.html,48.615403,-1.49144,Mont Saint Michel
9,Au Mont Chez Nous Jaccuzi et Sauna,9.2,"Situé à Pontorson, à seulement 8,6 km de l'abbaye du Mont-Saint-Michel, l'établissement Au Mont Chez Nous Jaccuzi et Sauna propose un hébergement avec un accès à un salon commun, un jardin et une...",https://www.booking.com/hotel/fr/26-route-de-la-rive-ardevon.fr.html,48.6134553,-1.4858723,Mont Saint Michel
10,Le Goeland,9.1,"Le Goeland est situé à Beauvoir, à 23 km du Scriptorial d'Avranches, musee des manuscrits Le Mont Saint-Michel se trouve à 45 km du port de la Houle et à 48 km de la gare de Granville. ",https://www.booking.com/hotel/fr/le-goeland-beauvoir.fr.html,48.59750289,-1.50417254,Mont Saint Michel
11,Maison au pied du Mont Saint Michel,9.1,"Offrant une vue sur le jardin, la Maison au pied du Mont Saint Michel propose un hébergement avec une terrasse et une bouilloire, à environ 21 km du Scriptorial d'Avranches, musee des manuscrits. ",https://www.booking.com/hotel/fr/maison-au-pied-du-mont-saint-michel.fr.html,48.61267358,-1.48553065,Mont Saint Michel
12,A L'Ombre du Mont St Michel,9.0,Établissement Voyage Durable,https://www.booking.com/hotel/fr/a-l-ombre-du-mont-st-michel.fr.html,48.61591354,-1.46560172,Mont Saint Michel
13,La Greve Saint Michel,9.0,"Offrant une vue sur le jardin, La Greve Saint Michel propose un hébergement avec une terrasse et une bouilloire, à environ 5 km de l'abbaye du Mont-Saint-Michel. ",https://www.booking.com/hotel/fr/la-greve-saint-michel.fr.html,48.59775819,-1.51228422,Mont Saint Michel
