Nature mutation,Valeur fonciere,Type local,Nombre pieces principales,Surface,Latitude,Longitude
Vente,580000.0,Appartement,2,61.0,48.8845518,2.3481643490605
Vente,605000.0,Appartement,3,40.66,48.8633027,2.3629937
Vente,716250.0,Appartement,3,66.26,48.8804464,2.3323565
Vente,320000.0,Appartement,2,35.19,48.8795741,2.3624495
Vente,320000.0,Appartement,1,32.52,48.8733044,2.4051602
Vente,280000.0,Appartement,2,24.59,48.8526316,2.4004218
Vente,200000.0,Appartement,2,27.64,48.8911921,2.3759845
Vente,677500.0,Appartement,3,57.12,48.8647116,2.3535361
Vente,445000.0,Appartement,2,47.55,48.878072,2.3758412
Vente,425890.0,Appartement,2,52.17,48.8731806,2.408222
Vente,660000.0,Appartement,3,81.36,48.8957169,2.3527101
Vente,820000.0,Appartement,3,74.38,48.8830336,2.3193166
Vente,293000.0,Appartement,1,23.55,48.8702608,2.341489
Vente,405970.0,Appartement,3,38.53,48.8817716,2.3641439
Vente,505000.0,Appartement,2,47.59,48.8610407,2.3610529
Vente,616750.0,Appartement,2,55.49,48.8549223,2.4037171
Vente,14800.0,Appartement,2,30.0,48.8871628,2.3232218
Vente,300000.0,Appartement,1,32.36,48.8893771,2.3558375
Vente,504650.0,Appartement,2,51.9,48.8774227,2.3626092
Vente,755000.0,Appartement,4,60.79,48.892245,2.3304746
Vente,335000.0,Appartement,2,32.95,48.8826106,2.2960124
Vente,514500.0,Appartement,3,47.36,48.8841528,2.3248371
Vente,725000.0,Appartement,3,70.0,48.8749763,2.3470447
Vente,150000.0,Appartement,1,15.73,48.8654241,2.4052112
Vente,963000.0,Appartement,3,76.38,48.884942,2.3207175
Vente,15000.0,Appartement,1,15.0,48.8849824,2.3799672
Vente,441800.0,Appartement,2,47.49,48.8947308,2.3259704
Vente,296400.0,Appartement,2,20.31,48.8652505,2.3610577
Vente,210000.0,Appartement,1,24.23,48.8915635,2.3732344
Vente,214160.0,Appartement,1,17.35,48.8811769,2.3295716
Vente,309000.0,Appartement,2,41.05,48.878217,2.3991477
Vente,485000.0,Appartement,3,53.25,48.876596,2.3704485
Vente,379300.0,Appartement,1,28.2,48.8793764,2.3313489
Vente,1150000.0,Appartement,4,88.06,48.8807564,2.3315421
Vente,350000.0,Appartement,2,30.4,48.8728731,2.3710083
Vente,310000.0,Appartement,3,63.5,48.8795104,2.373186
Vente,100000.0,Appartement,1,10.51,48.875738,2.322054
Vente,448500.0,Appartement,3,50.22,48.8846137,2.369729
Vente,330000.0,Appartement,1,28.4,48.8779763,2.2934656
Vente,360000.0,Appartement,2,39.0,48.8621732,2.4015681
Vente,324500.0,Appartement,3,52.7,48.884084,2.3667056
Vente,414270.0,Appartement,1,27.53,48.8626049,2.3609259
Vente,500000.0,Appartement,6,49.8,48.879241,2.2971861
Vente,765420.0,Appartement,3,69.02,48.884084,2.3667056
Vente,365000.0,Appartement,1,28.67,48.8854596,2.3362224
Vente,42000.0,Appartement,1,6.0,48.8546917,2.4018859
Vente,722000.0,Appartement,3,59.75,48.8814445,2.3233392
Vente,820000.0,Appartement,4,82.21,48.8938191,2.3434444
Vente,643500.0,Appartement,3,66.35,48.8862232,2.3242216
Vente,300600.0,Appartement,2,27.88,48.893837,2.3469404
Vente,192000.0,Appartement,1,18.71,48.8892267,2.3271373
Vente,873200.0,Appartement,3,76.03,48.8913284,2.3374586
Vente,559500.0,Appartement,2,46.62,48.8805485,2.3053638
Vente,315000.0,Appartement,2,28.0,48.8817265,2.3525982
Vente,580000.0,Appartement,3,55.0,48.8717915,2.3624865
Vente,581934.0,Appartement,3,54.03,48.8724698,2.3760811
Vente,385000.0,Appartement,3,58.0,48.868753,2.4081184
Vente,1530000.0,Appartement,3,126.85,48.8824408,2.3020692
Vente,328000.0,Appartement,1,30.55,48.8719431,2.3607522
Vente,530000.0,Appartement,3,66.44,48.8891802,2.362472
Vente,302000.0,Appartement,1,25.0,48.8665613,2.3418188
Vente,524000.0,Appartement,3,62.56,48.8835807,2.3878592
Vente,17714.0,Appartement,1,27.0,48.8953712,2.337228
Vente,400000.0,Appartement,1,27.0,48.8482911,2.3647673
Vente,543690.0,Appartement,1,46.1,48.8801709,2.3341663
Vente,697000.0,Appartement,3,65.0,48.8908207,2.3382587
Vente,1611000.0,Appartement,3,113.4,48.8733557,2.3237507
Vente,965000.0,Appartement,4,83.56,48.8807514,2.3383268
Vente,1365500.0,Appartement,4,109.09,48.8610599,2.3646923
Vente,1200.0,Appartement,2,40.0,48.8866276,2.3480431
Vente,887550.0,Appartement,3,74.04,48.8826998,2.3446128
Vente,590000.0,Appartement,3,47.02,48.8847068,2.3281101
Vente,155526.0,Appartement,1,28.81,48.8619135,2.3516737
Vente,405000.0,Appartement,3,38.83,48.8848263,2.3190834
Vente,187575.0,Appartement,1,24.04,48.8694372,2.4002021
Vente,355000.0,Appartement,2,33.93,48.8886656,2.3548822
Vente,465000.0,Appartement,2,37.45,48.8821814,2.3419718
Vente,350000.0,Appartement,1,26.37,48.8835682,2.3181145
Vente,420000.0,Appartement,4,31.7,48.8808665,2.3334016
Vente,344000.0,Appartement,2,29.05,48.878274,2.3527252
Vente,525400.0,Appartement,3,45.0,48.8854321,2.333302
Vente,129000.0,Appartement,1,15.8,48.8743997,2.3825251
Vente,260000.0,Appartement,2,24.7,48.8699932,2.379757
Vente,1750000.0,Appartement,6,151.69,48.8832776,2.2967827
Vente,1054200.0,Appartement,3,76.76,48.8796029,2.3191965
Vente,230000.0,Appartement,2,56.019999999999996,48.878478,2.3642813
Vente,881000.0,Appartement,3,72.93,48.8809189,2.2892745
Vente,915000.0,Appartement,3,69.44,48.8556131,2.3611276
Vente,272000.0,Appartement,1,31.47,48.8678651,2.3915528
Vente,261550.0,Appartement,1,22.78,48.8644072,2.353191
Vente,140000.0,Appartement,1,18.52,48.8957812,2.3472716
Vente,760000.0,Appartement,2,68.77,48.8910658,2.3246364
Vente,317000.0,Appartement,2,30.63,48.8580184,2.3999964
Vente,1050000.0,Appartement,2,75.16,48.8708981,2.3114832
Vente,390000.0,Appartement,1,29.75,48.8615449,2.3622739
Vente,306000.0,Appartement,2,26.39,48.8829101,2.3375152
Vente,435000.0,Appartement,1,28.9,48.8591334,2.3593898
Vente,888976.0,Appartement,3,69.77,48.8933911,2.3424474
Vente,165000.0,Appartement,1,19.5,48.893499,2.3615578
Vente,128000.0,Appartement,1,14.85,48.8585883,2.4012072
Vente,463000.0,Appartement,3,52.55,48.8826716,2.3802416
Vente,2354000.0,Appartement,4,174.15,48.8784475,2.2977224
Vente,134000.0,Appartement,1,13.32,48.885261799999995,2.327354999299839
Vente,390000.0,Appartement,2,33.96,48.8940306,2.3315222
Vente,411221.0,Appartement,2,40.0,48.868052,2.3850172
Vente,40000.0,Appartement,1,6.0,48.8782417,2.3395298
Vente,467000.0,Appartement,3,44.97,48.8682234,2.400601
Vente,788901.3,Appartement,4,77.78,48.868086,2.3526316
Vente,907800.0,Appartement,3,70.39,48.8887664,2.316564
Vente,305000.0,Appartement,2,35.0,48.896976,2.3238197
Vente,200000.0,Appartement,2,30.29,48.8891791,2.356252
