Adresse,location,Latitude,Longitude
13 RUE DE SOFIA 75018 PARIS FRANCE,"13, Rue de Sofia, Quartier de Clignancourt, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France",48.8845518,2.3481643490605
51 RUE CHARLOT 75003 PARIS FRANCE,"Pauline Pin, 51, Rue Charlot, Quartier des Enfants-Rouges, Paris 3e Arrondissement, Paris, Île-de-France, France métropolitaine, 75003, France",48.8633027,2.3629937
6 RUE PAUL ESCUDIER 75009 PARIS FRANCE,"6, Rue Paul Escudier, Quartier Saint-Georges, Paris 9e Arrondissement, Paris, Île-de-France, France métropolitaine, 75009, France",48.8804464,2.3323565
4 RUE DU CHATEAU LANDON 75010 PARIS FRANCE,"4, Rue du Château Landon, Quartier Saint-Vincent-de-Paul, Paris 10e Arrondissement, Paris, Île-de-France, France métropolitaine, 75010, France",48.8795741,2.3624495
134 AV GAMBETTA 75020 PARIS FRANCE,"134, Avenue Gambetta, Quartier Saint-Fargeau, Paris 20e Arrondissement, Paris, Île-de-France, France métropolitaine, 75020, France",48.8733044,2.4051602
9 RUE ELYSEE MENILMONTANT 75020 PARIS FRANCE,,,
18 RUE DES HAIES 75020 PARIS FRANCE,"18, Rue des Haies, Quartier de Charonne, Paris 20e Arrondissement, Paris, Île-de-France, France métropolitaine, 75020, France",48.8526316,2.4004218
195 RUE DE CRIMEE 75019 PARIS FRANCE,"Tasska, 195, Rue de Crimée, Quartier de la Villette, Paris 19e Arrondissement, Paris, Île-de-France, France métropolitaine, 75019, France",48.8911921,2.3759845
79 RUE DES GRAVILLIERS 75003 PARIS FRANCE,"79, Rue des Gravilliers, Quartier Sainte-Avoye, Paris 3e Arrondissement, Paris, Île-de-France, France métropolitaine, 75003, France",48.8647116,2.3535361
4 RUE GEORGES LARDENNOIS 75019 PARIS FRANCE,"4, Rue Georges Lardennois, Quartier du Combat, Paris 19e Arrondissement, Paris, Île-de-France, France métropolitaine, 75019, France",48.878072,2.3758412
129 BD MORTIER 75020 PARIS FRANCE,"129, Boulevard Mortier, Quartier Saint-Fargeau, Paris 20e Arrondissement, Paris, Île-de-France, France métropolitaine, 75020, France",48.8731806,2.408222
